Coastline (Low Detail) N00.00.00.000 w000.00.00.000 N00.00.00.000 w000.00.00.000
N042.52.19.199 E002.59.53.801 N042.49.59.800 E002.57.40.201
N042.49.59.800 E002.57.40.201 N042.48.70.300 E002.58.38.899
N042.48.70.300 E002.58.38.899 N042.48.70.402 E003.01.32.800
N042.48.70.402 E003.01.32.800 N042.50.50.899 E003.01.37.401
N042.50.50.899 E003.01.37.401 N042.52.50.998 E003.02.52.400
N042.52.50.998 E003.02.52.400 N042.36.38.801 E003.01.55.401
N042.36.38.801 E003.01.55.401 N042.37.10.301 E003.02.17.999
N042.37.10.301 E003.02.17.999 N042.32.10.500 E003.03.23.800
N042.32.10.500 E003.03.23.800 N042.30.56.999 E003.08.25.400
N042.30.56.999 E003.08.25.400 N042.30.20.800 E003.07.22.400
N042.30.20.800 E003.07.22.400 N042.28.53.900 E003.07.49.198
N042.28.53.900 E003.07.49.198 N042.28.37.300 E003.09.14.799
N042.28.37.300 E003.09.14.799 N042.26.26.902 E003.10.28.200
N042.26.26.902 E003.10.28.200 N042.23.35.902 E003.09.10.199
N042.23.35.902 E003.09.10.199 N042.21.38.700 E003.09.49.298
N042.21.38.700 E003.09.49.298 N042.20.10.399 E003.11.47.900
N042.20.10.399 E003.11.47.900 N042.21.70.401 E003.13.44.601
N042.21.70.401 E003.13.44.601 N042.19.49.501 E003.14.57.098
N042.19.49.501 E003.14.57.098 N042.20.28.298 E003.15.50.800
N042.20.28.298 E003.15.50.800 N042.19.11.798 E003.19.13.199
N042.19.11.798 E003.19.13.199 N042.18.11.800 E003.17.10.399
N042.18.11.800 E003.17.10.399 N042.17.11.699 E003.17.55.298
N042.17.11.699 E003.17.55.298 N042.17.17.901 E003.16.37.401
N042.17.17.901 E003.16.37.401 N042.15.56.901 E003.17.10.298
N042.15.56.901 E003.17.10.298 N042.15.80.798 E003.15.13.399
N042.15.80.798 E003.15.13.399 N042.14.19.298 E003.15.50.900
N042.14.19.298 E003.15.50.900 N042.15.70.402 E003.13.38.899
N042.15.70.402 E003.13.38.899 N042.14.10.298 E003.13.20.899
N042.14.10.298 E003.13.20.899 N042.15.49.399 E003.09.29.902
N042.15.49.399 E003.09.29.902 N042.14.11.800 E003.06.46.400
N042.14.11.800 E003.06.46.400 N042.13.40.299 E003.06.53.899
N042.13.40.299 E003.06.53.899 N042.12.38.901 E003.06.10.299
N042.12.38.901 E003.06.10.299 N042.07.44.900 E003.07.28.301
N042.07.44.900 E003.07.28.301 N042.06.58.298 E003.10.17.799
N042.06.58.298 E003.10.17.799 N042.04.50.800 E003.12.43.498
N042.04.50.800 E003.12.43.498 N042.01.23.800 E003.11.49.401
N042.01.23.800 E003.11.49.401 N042.01.26.799 E003.10.46.401
N042.01.26.799 E003.10.46.401 N041.57.38.901 E003.14.40.401
N041.57.38.901 E003.14.40.401 N041.53.28.298 E003.12.11.901
N041.53.28.298 E003.12.11.901 N041.50.22.498 E003.07.47.798
N041.50.22.498 E003.07.47.798 N041.50.40.499 E003.06.11.999
N041.50.40.499 E003.06.11.999 N041.47.10.399 E003.03.26.899
N041.47.10.399 E003.03.26.899 N041.45.25.401 E002.58.39.000
N041.45.25.401 E002.58.39.000 N041.42.52.402 E002.56.80.999
N041.42.52.402 E002.56.80.999 N041.41.37.500 E002.49.56.899
N041.41.37.500 E002.49.56.899 N041.38.40.402 E002.46.20.999
N041.38.40.402 E002.46.20.999 N041.34.40.501 E002.33.80.798
N041.34.40.501 E002.33.80.798 N041.29.43.400 E002.22.53.799
N041.29.43.400 E002.22.53.799 N041.27.43.401 E002.16.24.099
N041.27.43.401 E002.16.24.099 N041.17.13.499 E002.06.38.902
N043.32.55.399 W006.32.21.001 N043.33.10.501 W006.28.30.101
N043.33.10.501 W006.28.30.101 N043.34.19.402 W006.28.18.001
N043.34.19.402 W006.28.18.001 N043.33.16.401 W006.25.48.101
N043.33.16.401 W006.25.48.101 N043.33.10.300 W006.21.15.001
N043.33.10.300 W006.21.15.001 N043.34.43.499 W006.15.30.099
N043.34.43.499 W006.15.30.099 N043.35.40.401 W006.14.42.201
N043.35.40.401 W006.14.42.201 N043.34.28.301 W006.12.18.000
N043.34.28.301 W006.12.18.000 N043.34.52.399 W006.11.26.998
N043.34.52.399 W006.11.26.998 N043.33.52.402 W006.11.15.101
N043.33.52.402 W006.11.15.101 N043.33.58.499 W006.04.48.101
N043.33.58.499 W006.04.48.101 N043.32.13.499 W006.04.45.001
N043.32.13.499 W006.04.45.001 N043.34.40.400 W006.04.36.299
N043.34.40.400 W006.04.36.299 N043.35.19.499 W006.01.14.998
N043.35.19.499 W006.01.14.998 N043.34.25.499 W005.59.45.200
N043.34.25.499 W005.59.45.200 N043.35.22.498 W005.55.39.100
N043.35.22.498 W005.55.39.100 N043.35.50.999 W005.56.46.701
N043.35.50.999 W005.56.46.701 N043.36.10.400 W005.55.90.098
N043.36.10.400 W005.55.90.098 N043.37.31.598 W005.54.48.100
N043.37.31.598 W005.54.48.100 N043.37.52.500 W005.52.30.101
N043.37.52.500 W005.52.30.101 N043.39.34.498 W005.51.60.098
N043.39.34.498 W005.51.60.098 N043.37.46.599 W005.48.33.098
N043.37.46.599 W005.48.33.098 N043.37.55.401 W005.47.00.100
N043.37.55.401 W005.47.00.100 N043.36.47.902 W005.47.19.600
N043.36.47.902 W005.47.19.600 N043.35.70.501 W005.45.27.100
N043.35.70.501 W005.45.27.100 N043.33.55.501 W005.42.42.098
N043.33.55.501 W005.42.42.098 N043.34.31.400 W005.41.53.901
N043.34.31.400 W005.41.53.901 N043.32.40.499 W005.41.35.999
N043.32.40.499 W005.41.35.999 N043.32.31.402 W005.38.48.001
N043.32.31.402 W005.38.48.001 N043.33.28.400 W005.37.18.299
N043.33.28.400 W005.37.18.299 N043.32.43.400 W005.31.48.100
N043.32.43.400 W005.31.48.100 N043.33.19.400 W005.24.42.199
N043.33.19.400 W005.24.42.199 N043.31.41.999 W005.23.16.598
N043.31.41.999 W005.23.16.598 N043.30.16.301 W005.25.24.200
N043.30.16.301 W005.25.24.200 N043.30.40.298 W005.22.59.999
N043.30.40.298 W005.22.59.999 N043.32.25.400 W005.22.27.098
N043.32.25.400 W005.22.27.098 N043.32.13.401 W005.17.57.001
N043.32.13.401 W005.17.57.001 N043.28.28.499 W005.12.51.098
N043.28.28.499 W005.12.51.098 N043.29.70.501 W005.07.30.000
N043.29.70.501 W005.07.30.000 N043.27.40.499 W005.02.21.199
N043.27.40.499 W005.02.21.199 N043.27.46.400 W004.55.42.200
N043.27.46.400 W004.55.42.200 N043.24.40.399 W004.39.21.200
N043.24.40.399 W004.39.21.200 N043.23.46.399 W004.28.27.001
N043.23.46.399 W004.28.27.001 N043.22.46.498 W004.28.33.100
N043.22.46.498 W004.28.33.100 N043.23.52.400 W004.26.48.001
N043.23.52.400 W004.26.48.001 N043.23.52.501 W004.23.57.001
N043.23.52.501 W004.23.57.001 N043.22.37.402 W004.23.21.098
N043.22.37.402 W004.23.21.098 N043.23.28.399 W004.23.21.098
N043.23.28.399 W004.23.21.098 N043.24.19.299 W004.20.59.999
N043.24.19.299 W004.20.59.999 N043.23.22.600 W004.17.30.098
N043.23.22.600 W004.17.30.098 N043.24.10.400 W004.10.30.298
N043.24.10.400 W004.10.30.298 N043.26.46.499 W004.02.57.001
N043.26.46.499 W004.02.57.001 N043.25.34.298 W004.01.45.199
N043.25.34.298 W004.01.45.199 N043.26.58.498 W004.01.21.201
N043.26.58.498 W004.01.21.201 N043.26.49.402 W003.59.60.202
N043.26.49.402 W003.59.60.202 N043.25.49.598 W003.58.56.999
N043.25.49.598 W003.58.56.999 N043.26.20.900 W003.57.70.599
N043.26.20.900 W003.57.70.599 N043.26.50.899 W003.58.55.498
N043.26.50.899 W003.58.55.498 N043.28.22.400 W003.56.42.101
N043.28.22.400 W003.56.42.101 N043.28.43.499 W003.50.21.098
N043.28.43.499 W003.50.21.098 N043.29.46.500 W003.48.48.099
N043.29.46.500 W003.48.48.099 N043.29.34.400 W003.47.12.098
N043.29.34.400 W003.47.12.098 N043.28.60.100 W003.45.49.600
N043.28.60.100 W003.45.49.600 N043.26.23.999 W003.50.70.598
N043.26.23.999 W003.50.70.598 N043.25.80.900 W003.48.40.499
N043.25.80.900 W003.48.40.499 N043.24.29.998 W003.50.10.601
N043.24.29.998 W003.50.10.601 N043.23.46.500 W003.48.27.201
N043.23.46.500 W003.48.27.201 N043.27.10.400 W003.46.18.199
N043.27.10.400 W003.46.18.199 N043.26.10.399 W003.45.80.999
N043.26.10.399 W003.45.80.999 N043.26.33.000 W003.43.46.700
N043.26.33.000 W003.43.46.700 N043.26.70.400 W003.44.57.299
N043.26.70.400 W003.44.57.299 N043.27.00.000 W003.44.46.601
N043.27.00.000 W003.44.46.601 N043.27.37.501 W003.46.14.999
N043.27.37.501 W003.46.14.999 N043.27.40.499 W003.43.51.099
N043.27.40.499 W003.43.51.099 N043.28.28.401 W003.43.23.998
N043.28.28.401 W003.43.23.998 N043.29.52.400 W003.36.47.998
N043.29.52.400 W003.36.47.998 N043.30.52.600 W003.35.27.200
N043.30.52.600 W003.35.27.200 N043.29.19.500 W003.35.30.001
N043.29.19.500 W003.35.30.001 N043.30.28.299 W003.34.36.098
N043.30.28.299 W003.34.36.098 N043.30.34.402 W003.32.57.098
N043.30.34.402 W003.32.57.098 N043.29.50.999 W003.33.10.501
N043.29.50.999 W003.33.10.501 N043.29.46.500 W003.31.60.100
N043.29.46.500 W003.31.60.100 N043.28.13.501 W003.31.30.100
N043.28.13.501 W003.31.30.100 N043.27.47.998 W003.25.49.799
N043.27.47.998 W003.25.49.799 N043.26.13.499 W003.26.12.001
N043.26.13.499 W003.26.12.001 N043.26.25.501 W003.27.45.298
N043.26.25.501 W003.27.45.298 N043.27.43.300 W003.28.20.899
N043.27.43.300 W003.28.20.899 N043.25.58.501 W003.29.15.202
N043.25.58.501 W003.29.15.202 N043.25.36.001 W003.31.19.498
N043.25.36.001 W003.31.19.498 N043.25.31.400 W003.29.30.098
N043.25.31.400 W003.29.30.098 N043.22.46.402 W003.28.30.101
N043.22.46.402 W003.28.30.101 N043.22.48.000 W003.26.19.500
N043.22.48.000 W003.26.19.500 N043.23.42.000 W003.27.46.699
N043.23.42.000 W003.27.46.699 N043.26.70.300 W003.27.00.202
N043.26.70.300 W003.27.00.202 N043.24.43.499 W003.25.36.001
N043.24.43.499 W003.25.36.001 N043.25.70.500 W003.19.20.999
N043.25.70.500 W003.19.20.999 N043.22.58.501 W003.19.18.199
N043.22.58.501 W003.19.18.199 N043.24.34.498 W003.18.42.001
N043.24.34.498 W003.18.42.001 N043.24.13.399 W003.15.27.101
N043.24.13.399 W003.15.27.101 N043.21.70.499 W003.09.51.001
N043.21.70.499 W003.09.51.001 N043.20.43.400 W003.07.90.001
N043.20.43.400 W003.07.90.001 N043.21.52.402 W003.06.27.100
N043.21.52.402 W003.06.27.100 N043.20.22.599 W003.03.20.998
N043.20.22.599 W003.03.20.998 N043.20.49.402 W003.02.30.001
