; Start Marseille - (LFMM) - Regions
;LFMM_Water
REGIONNAME Marseille Waters
smrWater N041.17.40.840 E007.01.32.494
N041.42.15.754 E008.49.29.197
N041.42.18.224 E008.49.15.986
N041.42.30.559 E008.49.02.778
N041.42.35.493 E008.48.56.173
N041.42.35.497 E008.48.39.657
N041.42.28.101 E008.48.26.443
N041.42.20.704 E008.48.16.533
N041.42.10.840 E008.48.13.230
N041.42.00.976 E008.48.09.926
N041.41.56.046 E008.47.56.715
N041.41.48.650 E008.47.40.202
N041.41.46.184 E008.47.26.992
N041.41.46.185 E008.47.07.176
N041.41.48.652 E008.46.57.267
N041.41.58.516 E008.46.57.263
N041.42.08.381 E008.46.57.260
N041.42.18.246 E008.46.50.650
N041.42.28.111 E008.46.44.040
N041.42.33.043 E008.46.27.520
N041.42.35.508 E008.46.17.607
N041.42.40.440 E008.46.04.389
N041.42.52.772 E008.46.04.382
N041.43.02.638 E008.46.04.376
N041.43.12.504 E008.46.07.674
N041.43.19.904 E008.46.14.278
N041.43.24.838 E008.46.27.493
N041.43.32.238 E008.46.44.012
N041.43.42.104 E008.46.53.922
N041.43.59.370 E008.47.03.830
N041.44.06.770 E008.47.03.827
N041.44.14.171 E008.47.03.824
N041.44.19.105 E008.46.43.991
N041.44.16.639 E008.46.30.771
N041.44.14.171 E008.46.10.940
N041.44.11.704 E008.45.57.720
N041.44.09.236 E008.45.44.500
N041.44.04.300 E008.45.24.672
N041.44.01.831 E008.45.11.452
N041.43.59.362 E008.44.58.233
N041.43.56.892 E008.44.41.708
N041.43.54.423 E008.44.31.794
N041.43.51.950 E008.44.08.658
N041.43.47.012 E008.43.55.442
N041.43.42.075 E008.43.45.532
N041.43.37.138 E008.43.35.622
N041.43.32.199 E008.43.22.407
N041.43.24.793 E008.43.09.196
N041.43.22.317 E008.42.49.366
N041.43.22.309 E008.42.32.838
N041.43.27.238 E008.42.22.912
N041.43.37.106 E008.42.22.895
N041.43.46.977 E008.42.29.490
N041.43.59.315 E008.42.36.081
N041.44.09.183 E008.42.36.064
N041.44.19.050 E008.42.32.740
N041.44.26.447 E008.42.22.806
N041.44.26.441 E008.42.09.579
N041.44.28.899 E008.41.53.039
N041.44.28.890 E008.41.36.503
N041.44.28.882 E008.41.23.274
N041.44.33.811 E008.41.13.342
N041.44.33.801 E008.40.56.804
N041.44.26.388 E008.40.40.283
N041.44.18.979 E008.40.30.378
N041.44.11.567 E008.40.17.166
N041.44.06.622 E008.40.03.948
N041.44.04.145 E008.39.50.724
N041.44.04.131 E008.39.34.185
N041.44.04.120 E008.39.20.954
N041.44.16.452 E008.39.14.304
N041.44.26.322 E008.39.14.277
N041.44.38.663 E008.39.17.551
N041.44.46.068 E008.39.20.839
N041.44.55.945 E008.39.27.428
N041.45.03.387 E008.40.20.345
N041.45.10.822 E008.41.09.951
N041.45.10.828 E008.41.19.876
N041.45.13.302 E008.41.33.102
N041.45.25.649 E008.41.49.617
N041.45.33.059 E008.42.02.834
N041.45.35.532 E008.42.16.061
N041.45.40.474 E008.42.29.284
N041.45.45.414 E008.42.42.507
N041.46.19.160 E008.43.14.571
N041.46.27.211 E008.43.25.341
N041.46.37.937 E008.43.25.329
N041.46.48.660 E008.43.21.723
N041.47.02.066 E008.43.21.707
N041.47.07.420 E008.43.07.325
N041.47.07.411 E008.42.52.950
N041.47.10.084 E008.42.42.165
N041.47.28.844 E008.42.31.358
N041.47.47.611 E008.42.31.333
N041.47.58.334 E008.42.31.319
N041.48.06.381 E008.42.38.497
N041.48.03.713 E008.42.56.474
N041.48.01.056 E008.43.36.017
N041.48.01.067 E008.43.57.585
N041.48.03.751 E008.44.04.772
N041.48.14.475 E008.44.08.356
N041.48.33.241 E008.44.11.932
