AQ516 N050.03.20.801 E002.40.21.900
ARBON N045.16.59.801 E004.53.24.601
ARBOS N046.59.03.001 E006.01.35.000
ARC01 N044.48.15.001 W000.49.27.401
ARDEG N044.40.09.001 E004.32.15.000
ARDEN N049.51.42.998 E004.51.28.001
ARDOD N047.43.53.000 W000.54.20.999
ARDOL N046.45.05.000 E004.38.15.000
ARGED N048.55.46.999 W000.15.00.000
ARGIS N045.58.16.000 E005.35.57.001
ARKIP N047.37.59.999 E002.02.11.000
ARKOX N045.26.24.000 E005.18.27.000
ARLOP N046.16.26.000 E004.09.23.000
ARLOR N048.37.38.399 W002.37.54.098
ARMAL N047.20.26.999 E002.03.11.002
ARMAX N045.01.42.899 E001.44.42.101
ARMIV N044.06.56.599 E004.50.43.300
ARNAV N047.12.24.001 E001.47.25.001
ARNEV N047.56.57.098 W000.29.31.402
ARNOT N047.24.07.999 E006.55.12.000
ARPIL N045.41.09.679 E000.41.52.260
ARPOB N045.55.44.602 E005.03.49.201
ARPUS N047.40.21.299 E006.39.56.801
ARSAF N049.21.02.599 E002.08.03.001
ARSIG N043.18.56.002 W000.26.50.899
ARSIL N048.33.36.000 E004.03.42.001
ARSOM N046.08.13.999 E003.25.10.999
ARSUK N048.46.09.199 E000.41.04.200
ARTAX N046.15.27.000 E001.46.59.999
ARTIV N048.52.01.999 W001.52.04.001
ARVEL N043.27.07.999 E002.02.30.001
ARVID N043.04.33.600 W001.27.52.898
ARVOL N050.32.44.999 E003.29.48.998
ASBAR N050.23.35.999 E003.21.52.999
ASGUN N049.11.04.999 E003.25.40.001
ASKAG N041.47.25.001 E009.45.00.000
ASKAN N045.02.39.998 W001.02.22.999
ASLEG N045.45.09.000 E006.09.15.001
ASPET N043.00.00.000 E000.58.46.999
ASRUL N048.43.06.200 E003.50.42.101
ASSEQ N046.13.23.599 E006.30.56.599
ASTEG N043.24.51.800 E004.07.55.600
ASVOK N048.57.33.502 E001.29.42.799
AT410 N050.26.26.700 E001.44.59.399
AT510 N050.33.53.899 E001.32.40.301
ATGAL N048.57.34.700 W000.15.15.700
ATGEB N048.41.09.100 W001.39.18.400
ATGIV N049.58.35.501 E000.53.11.198
ATGUS N040.55.01.999 E006.38.57.998
ATLEN N044.30.19.300 W004.56.51.101
ATMAD N045.13.09.001 E007.00.09.000
ATMOS N049.26.20.299 W000.03.31.702
ATNIS N048.23.29.000 W001.27.42.998
ATNUL N048.35.04.999 E006.41.58.999
ATREX N049.47.07.001 E002.22.07.000
ATRID N046.50.55.000 E003.24.31.000
ATSUP N045.44.33.900 E002.57.09.698
AUCHE N043.39.05.000 E000.33.29.999
AULON N044.22.43.000 E001.38.51.000
AV410 N050.20.38.900 E003.23.08.999
AV412 N050.24.06.401 E003.25.12.101
AV414 N050.25.36.199 E003.32.32.798
AV416 N050.23.04.200 E003.35.03.001
AV510 N050.18.36.799 E003.31.30.799
